Année,Perimètre juridique,Perimètre spatial,Spatial perimeter,Indicateur,Indicator,Type de contrat,Type of contract,Collège,Employee category,Plage M3E,M3E classification,Genre,Gender,Valeur,Unité,Unit,Chapitre du bilan social
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Homme,Male,0.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Femme,Female,1.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Homme,Male,0.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Homme,Male,16.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Femme,Female,340.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Homme,Male,102.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Homme,Male,38.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Femme,Female,23.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Femme,Female,0.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Femme,Female,13.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Homme,Male,14.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Femme,Female,11.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Homme,Male,1703.0,M€,M€,§2.1.1
2018,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Femme,Female,2.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Femme,Female,51.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Femme,Female,22.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Homme,Male,0.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Homme,Male,15.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Homme,Male,1735.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Femme,Female,344.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Femme,Female,2.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Maitrise,Supervisors,,,Femme,Female,12.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Homme,Male,14.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Execution,Operatives,,,Femme,Female,12.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Cadre,Managers,,,Femme,Female,598.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Execution,Operatives,,,Homme,Male,100.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Homme,Male,0.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Execution,Operatives,,,Femme,Female,0.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Statutaire,Statutory,Maitrise,Supervisors,,,Homme,Male,1001.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Cadre,Managers,,,Homme,Male,38.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDI,Permanent non-statutory,Maitrise,Supervisors,,,Femme,Female,1.0,M€,M€,§2.1.1
2017,EDF SA,France,France,Masse salariale annuelle,Annual Payroll,Non statutaire CDD,Fixed-term non-statutory,Cadre,Managers,,,Homme,Male,4.0,M€,M€,§2.1.1
