Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2017;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;Sans plage;Femme;456515.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;A;Femme;14312.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;B;Femme;42157.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;Sans plage;Homme;460602.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;;Homme;3269212.0;Heures;§5.1.4
2017;EDF SA;France;Heures de formation;;C;Homme;400915.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;E;Femme;24810.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;G;Femme;156280.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;Maitrise;;;2356750.0;Heures;§5.1.4
2017;EDF SA;France;Heures de formation;Exécution;;;728483.0;Heures;§5.1.4
2017;EDF SA;France;Heures de formation;;A;Homme;32394.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;C;Femme;141667.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;D;Femme;135502.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;E;Homme;329516.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;H;Femme;61914.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;I;Femme;14.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;B;Homme;87006.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;D;Homme;389668.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;F;Homme;490128.0;Heures;§5.1.4 bis
2017;EDF SA;France;Heures de formation;;H;Homme;250160.0;Heures;§5.1.4 bis
