Année;Perimètre juridique;Perimètre spatial;Indicateur;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Femme;0.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Heures de formation;;F;Femme;76028.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;H;Femme;37904.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;I;Homme;0.0;Heures;§5.1.4 bis
2021;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Homme;4.0;Nombre;§5.2.2
2021;EDF SA;France;Contrats de professionnalisation conclus dans l'année;;;Femme;20.0;Nombre;§5.3.1
2021;EDF SA;France;Montant consacré à la formation continue - INTERNE;;;;169239.0;K€;§5.1.2
2021;EDF SA;France;Montant consacré à la formation continue - AGRÉÉ CONVENTION;;;;49000.0;K€;§5.1.2
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;A;Homme;1017.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Femme;994.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Femme;1617.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Heures de formation;;B;Homme;79895.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;B;Femme;34586.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;C;Femme;121556.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;E;Homme;241724.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;G;Homme;596339.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;G;Femme;106288.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;H;Homme;172936.0;Heures;§5.1.4 bis
2021;EDF SA;France;salariés ayant bénéficié d’un congé individuel de formation non rémunéré;;;Femme;0.0;Nombre;§5.2.2
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;D;Femme;1730.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Femme;2306.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;I;Homme;0.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;Sans plage;Homme;3076.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Heures de formation;Cadres;;;1035552.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;Maitrise;;;1609069.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;Exécution;;;287841.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;;;Homme;2339448.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;;A;Femme;12451.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;D;Homme;316452.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;F;Homme;379404.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;Sans plage;Homme;194823.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;Sans plage;Femme;105226.0;Heures;§5.1.4 bis
2021;EDF SA;France;Contrats d'apprentissage conclus dans l'année;;;Homme;1160.0;Nombre;§5.3.1
2021;EDF SA;France;Montant consacré à la formation continue - AUTRES;;;;39000.0;K€;§5.1.2
2021;EDF SA;France;Salariés ayant suivi au moins un stage;Cadres;;Homme;15391.0;Nombre;§5.1.3
2021;EDF SA;France;Salariés ayant suivi au moins un stage;Maitrise;;Homme;17983.0;Nombre;§5.1.3
2021;EDF SA;France;Salariés ayant suivi au moins un stage;Exécution;;Femme;1396.0;Nombre;§5.1.3
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;F;Homme;6747.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;G;Femme;2179.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Salariés ayant suivi au moins un stage;;H;Homme;2071.0;Nombre;§5.1.3 bis
2021;EDF SA;France;Heures de formation;;;Femme;593014.0;Heures;§5.1.4
2021;EDF SA;France;Heures de formation;;A;Homme;26504.0;Heures;§5.1.4 bis
2021;EDF SA;France;Heures de formation;;C;Homme;331371.0;Heures;§5.1.4 bis
