Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Femme;1390.0;€;§2.1.2.bis
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;;Homme;383.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;;Homme;235.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Exécution vers Maîtrise;;Femme;97.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;;Femme;0.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Femme;0.0;nombre;§1.5.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;;Homme;1678.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;;Femme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;;Femme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;;Homme;12.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Execution;;Femme;8.0;M€;§2.1.1
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Femme;6303.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Homme;4291.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;3697.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;2829.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;2955.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Femme;1406.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Homme;3437.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Femme;2870.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;8562.0;€;§2.1.2.bis
2021;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;;Femme;127.0;nombre;§1.5.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;;Femme;647.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;;Homme;1026.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;;Femme;36.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;;Homme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Execution;;Homme;0.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;;Femme;15.0;M€;§2.1.1
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3450.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Homme;3949.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3238.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;7763.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Homme;5014.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4380.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4226.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1360.0;€;§2.1.2.bis
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;;Homme;0.0;nombre;§1.5.1
2021;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Homme;0.0;nombre;§1.5.1
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;;Femme;314.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;;Homme;48.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Cadre;;Femme;3.0;M€;§2.1.1
2021;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;;Homme;17.0;M€;§2.1.1
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;6983.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;11371.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;9867.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Femme;9020.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Femme;4722.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;3997.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Homme;7717.0;€;§2.1.2.bis
2021;EDF SA;France;Masse salariale annuelle;Statutaire;Execution;;Homme;86.0;M€;§2.1.1
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Femme;3500.0;€;§2.1.2
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Homme;6183.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Femme;5616.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;3824.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Homme;0.0;€;§2.1.2.bis
2021;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;2986.0;€;§2.1.2.bis
2020;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Homme;0.0;nombre;§1.5.1
2020;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Exécution vers Maîtrise;;Femme;0.0;nombre;§1.5.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Maitrise;;Femme;319.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Maitrise;;Femme;0.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDD;Maitrise;;Homme;16.0;M€;§2.1.1
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;7019.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Homme;4225.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3357.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Femme;3296.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4334.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4165.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Femme;3839.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Homme;10888.0;€;§2.1.2.bis
2020;EDF SA;France;Promotions dans un collège supérieur;Statutaire;Maîtrise vers Cadre;;Femme;159.0;nombre;§1.5.1
2020;EDF SA;France;Promotions dans un collège supérieur;Non statutaire CDI;Maîtrise vers Cadre;;Femme;0.0;nombre;§1.5.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;;Homme;1672.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Statutaire;Cadre;;Femme;634.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;;Homme;42.0;M€;§2.1.1
2020;EDF SA;France;Masse salariale annuelle;Non statutaire CDI;Cadre;;Femme;27.0;M€;§2.1.1
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Execution;;Femme;2797.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;2498.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1335.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Homme;9937.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Homme;7797.0;€;§2.1.2.bis
