Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Plage M3E;Genre;Valeur;Unité;Chapitre du bilan social
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;3914.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Homme;3352.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;3017.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Femme;1386.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Femme;3388.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Homme;3357.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Femme;1384.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1110.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Homme;6209.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Homme;0.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Homme;7687.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Femme;6295.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;;sans plage;Femme;8569.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1359.0;€;§2.1.2.bis
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Femme;6280.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;3684.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;8932.0;€;§2.1.2
2020;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Femme;9035.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Homme;6994.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Homme;1355.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Femme;5549.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;G;Homme;3915.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;I;Femme;2795.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Femme;6177.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Cadre;;Femme;6216.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Femme;3647.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Femme;9213.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Maitrise;;Femme;1400.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Femme;1196.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;D;Femme;4679.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;F;Homme;4190.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Homme;3362.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;H;Femme;2807.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Execution;;Homme;1134.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;B;Femme;7178.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;C;Homme;6145.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;E;Femme;4341.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;sans plage;Homme;7802.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;;sans plage;Homme;1354.0;€;§2.1.2.bis
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;Maitrise;;Homme;4222.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Cadre;;Homme;11682.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Maitrise;;Homme;3354.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDI;Execution;;Femme;2259.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Non statutaire CDD;Cadre;;Homme;3261.0;€;§2.1.2
2019;EDF SA;France;Rémunération mensuelle moyenne brute;Statutaire;;A;Femme;9050.0;€;§2.1.2.bis
