Année;Perimètre juridique;Perimètre spatial;Indicateur;Type de contrat;Collège;Sous-catégorie collège;Genre;Plage M3E;Nationalité;Ancienneté;Tranche d'âge;Valeur;Unité;Chapitre du bilan social
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;;;De 36 à 45 ans;7.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Cadre;;Femme;;;;De 46 à 55 ans;3044.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Maîtrise;;Femme;;;;De 46 à 55 ans;2190.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Homme;;;;De 46 à 55 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Homme;;;;De 56 à 60 ans;58.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDI;Cadre;;Femme;;;;De 56 à 60 ans;42.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Cadre;;Femme;;;;De 56 à 60 ans;0.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Maîtrise;;Homme;;;;De 56 à 60 ans;12.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Non statutaires CDD;Exécution;;Homme;;;;De 56 à 60 ans;4.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;;61 ans et plus;14.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;;61 ans et plus;16.0;nombre;§1.1.6
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Homme;;;Moins de 5 ans;;899.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Statutaires;Exécution;;Femme;;;Moins de 5 ans;;351.0;nombre;§1.1.7
2023;EDF SA;France;Effectif;Non statutaires CDI;Exécution;;Femme;;;Moins de 5 ans;;0.0;nombre;§1.1.7
